date,Count2017,Count2018,Count2019,Count2020
5/25/2017,459,904,1281,2232
5/24/2017,573,767,829,1089
5/23/2017,574,625,613,1139
5/22/2017,389,482,770,936
5/21/2017,1127,625,699,841
5/20/2017,1157,1262,751,1145
5/19/2017,662,878,1674,1017
5/18/2017,720,624,1637,1519
5/17/2017,763,602,815,2024
5/16/2017,632,420,792,1624
5/15/2017,501,462,612,966
5/14/2017,930,534,404,800
5/13/2017,756,869,382,776
5/12/2017,632,1043,777,828
5/11/2017,483,812,1351,1216
5/10/2017,492,465,801,659
5/9/2017,490,582,537,688
5/8/2017,459,591,647,808
5/7/2017,931,562,581,593
5/6/2017,916,1059,624,1219
5/5/2017,518,1346,824,1104
5/4/2017,515,800,1252,1595
5/3/2017,461,676,679,1671
5/2/2017,486,826,557,1199
5/1/2017,513,712,475,428
4/30/2017,1174,386,520,596
4/29/2017,1497,871,443,773
4/28/2017,982,1031,933,507
4/27/2017,494,559,972,706
4/26/2017,400,611,462,1069
4/25/2017,306,412,472,763
4/24/2017,482,479,601,619
4/23/2017,919,485,547,473
4/22/2017,950,993,484,743
4/21/2017,564,966,1019,654
4/20/2017,494,443,842,947
4/19/2017,420,403,687,692
4/18/2017,475,468,441,672
4/17/2017,652,424,550,552
4/16/2017,1219,370,472,564
4/15/2017,943,619,393,695
4/14/2017,694,1137,1208,456
4/13/2017,556,914,1397,1024
4/12/2017,628,489,553,761
4/11/2017,798,406,473,487
4/10/2017,691,449,521,470
4/9/2017,918,427,447,649
4/8/2017,786,722,619,695
4/7/2017,450,793,1034,711
4/6/2017,390,564,1123,767
4/5/2017,497,437,454,721
4/4/2017,389,406,556,513
4/3/2017,413,444,522,521
4/2/2017,849,422,443,530
4/1/2017,667,678,435,486
3/31/2017,369,755,826,567
3/30/2017,434,490,1116,515
3/29/2017,429,475,629,635
3/28/2017,405,441,525,912
3/27/2017,410,418,434,588
3/26/2017,717,427,424,483
3/25/2017,767,789,478,568
3/24/2017,489,792,835,396
3/23/2017,197,471,739,534
3/22/2017,367,336,402,825
3/21/2017,472,367,490,876
3/20/2017,387,393,479,551
3/19/2017,682,443,404,550
3/18/2017,637,700,406,559
3/17/2017,468,690,724,479
3/16/2017,349,409,767,775
3/15/2017,295,357,567,867
3/14/2017,347,342,458,619
3/13/2017,330,383,429,453
3/12/2017,685,391,431,529
3/11/2017,603,695,486,638
3/10/2017,404,722,637,715
3/9/2017,277,450,729,866
3/8/2017,413,318,484,750
3/7/2017,324,300,378,469
3/6/2017,365,374,324,499
3/5/2017,590,352,396,401
3/4/2017,594,637,356,415
3/3/2017,388,593,594,427
3/2/2017,367,362,601,668
3/1/2017,351,465,413,720
2/28/2017,400,460,349,508
2/27/2017,398,405,335,307
2/26/2017,585,409,350,236
2/25/2017,777,697,352,412
2/24/2017,585,748,594,472
2/23/2017,523,466,725,758
2/22/2017,457,428,486,738
2/21/2017,389,555,464,469
2/20/2017,486,538,359,400
2/19/2017,843,467,395,497
2/18/2017,816,690,447,416
2/17/2017,399,651,618,547
2/16/2017,310,428,703,695
2/15/2017,355,418,511,742
2/14/2017,366,368,482,545
2/13/2017,320,394,363,363
2/12/2017,676,337,352,424
2/11/2017,683,628,368,389
2/10/2017,345,732,658,393
2/9/2017,325,438,660,671
2/8/2017,397,334,424,674
2/7/2017,344,318,446,408
2/6/2017,344,348,367,355
2/5/2017,656,344,480,406
2/4/2017,671,562,398,362
2/3/2017,436,649,684,504
2/2/2017,310,402,700,650
2/1/2017,382,347,437,757
1/31/2017,343,342,384,498
1/30/2017,349,366,325,388
1/29/2017,733,392,340,381
1/28/2017,801,711,430,419
1/27/2017,459,785,709,387
1/26/2017,375,456,738,718
1/25/2017,392,390,437,666
1/24/2017,306,322,286,488
1/23/2017,326,337,361,440
1/22/2017,792,400,324,439
1/21/2017,809,763,385,378
1/20/2017,474,727,508,450
1/19/2017,378,509,605,650
1/18/2017,404,336,394,566
1/17/2017,326,373,403,508
1/16/2017,509,330,350,408
1/15/2017,664,423,405,458
1/14/2017,765,603,365,396
1/13/2017,498,576,639,449
1/12/2017,396,408,648,839
1/11/2017,327,362,505,941
1/10/2017,357,320,253,497
1/9/2017,283,322,354,419
1/8/2017,554,319,372,359
1/7/2017,612,479,376,383
1/6/2017,414,493,564,421
1/5/2017,324,366,591,643
1/4/2017,375,275,468,626
1/3/2017,335,262,364,484
1/2/2017,368,305,355,447
1/1/2017,872,707,781,827
